ip_src,ip_dst,proto,port_src,port_dst,label,loss
192.168.2.7,192.168.2.1,6,43346,55424,0,-1
192.168.2.7,192.168.2.1,6,22253,55424,0,-1
192.168.2.7,192.168.2.1,6,43026,55424,0,-1
192.168.2.7,192.168.2.1,6,20909,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,13551,0,-1
192.168.2.1,192.168.2.7,6,55424,53072,0,-1
192.168.2.7,192.168.2.1,6,21229,55424,0,-1
192.168.2.7,192.168.2.1,6,44370,55424,0,-1
192.168.2.7,192.168.2.1,6,44690,55424,0,-1
192.168.2.7,192.168.2.1,6,42322,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,33861,0,-1
192.168.2.7,192.168.2.1,6,42002,55424,0,-1
192.168.2.7,192.168.2.1,6,42514,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,11567,0,-1
192.168.2.1,192.168.2.7,6,55424,10863,0,-1
192.168.2.1,192.168.2.7,6,55424,35589,0,-1
192.168.2.1,192.168.2.7,6,55424,9135,0,-1
192.168.2.7,192.168.2.1,6,24493,55424,0,-1
192.168.2.7,192.168.2.1,6,23981,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,9519,0,-1
192.168.2.7,192.168.2.1,6,23789,55424,0,-1
192.168.2.7,192.168.2.1,6,18861,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,59856,0,-1
192.168.2.1,192.168.2.7,6,55424,48517,0,-1
192.168.2.7,192.168.2.1,6,47058,55424,0,-1
192.168.2.7,192.168.2.1,6,46418,55424,0,-1
192.168.2.7,192.168.2.1,6,19373,55424,0,-1
192.168.2.7,192.168.2.1,6,20269,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,57808,0,-1
192.168.2.1,192.168.2.7,6,55424,18810,0,-1
192.168.2.7,192.168.2.1,6,45394,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,18618,0,-1
192.168.2.7,192.168.2.1,6,19757,55424,0,-1
192.168.2.7,192.168.2.1,6,48082,55424,0,-1
192.168.2.7,192.168.2.1,6,17517,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,1327,0,-1
192.168.2.7,192.168.2.1,6,17837,55424,0,-1
192.168.2.7,192.168.2.1,6,47954,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,43781,0,-1
192.168.2.1,192.168.2.7,6,55424,24122,0,-1
192.168.2.7,192.168.2.1,6,48786,55424,0,-1
192.168.2.7,192.168.2.1,6,17133,55424,0,-1
192.168.2.7,192.168.2.1,6,17197,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,61456,0,-1
192.168.2.1,192.168.2.7,6,55424,24570,0,-1
192.168.2.7,192.168.2.1,6,59923,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,49171,0,-1
192.168.2.1,192.168.2.7,6,55424,15596,0,-1
192.168.2.7,192.168.2.1,6,5228,55424,0,-1
192.168.2.7,192.168.2.1,6,60051,55424,0,-1
192.168.2.7,192.168.2.1,6,5868,55424,0,-1
